408	1	1	2	1	1	2	1	1	3	1	1	2.088748087	1	1	1	1	1	1	1	1	1	1	1	1
409	2	0	3	2	2	2	2	2	3	3	3	0.927735042	2	2	2	2	3	3	1	1	1	2	2	2
410	1	1	2	2	1	2	2	1	3	3	1	-0.233278004	2	2	1	3	3	1	2	1	1	3	2	1
411	2	0	2	2	2	3	2	2	3	2	3	0.347228519	1	2	2	1	2	2	1	2	2	1	3	3
413	1	1	2	2	1	2	2	1	3	3	1	0.927735042	1	1	2	1	1	3	1	1	1	1	1	2
414	2	0	1	2	999	1	2	999	1	3	999	0.347228519	999	999	999	999	999	999	999	2	999	999	999	999
415	2	0	2	3	3	2	2	2	3	3	2	0.347228519	1	2	2	1	2	2	1	2	2	1	3	3
416	2	0	2	3	3	2	2	2	3	2	2	-0.233278004	2	2	2	3	2	2	2	2	2	3	3	3
420	1	1	2	2	2	3	3	3	3	3	3	-1.39429105	2	2	1	2	3	1	1	1	1	2	2	1
422	1	1	2	2	2	2	2	2	3	3	3	-1.974797573	1	1	2	1	1	2	1	1	1	1	1	2
426	2	0	2	1	2	1	1	2	1	1	2	-0.813784527	2	2	2	2	3	2	2	2	1	3	3	2
427	1	1	2	1	999	2	1	999	3	1	999	-0.233278004	2	1	999	2	1	999	2	1	999	3	1	999
429	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
432	1	1	3	3	3	1	3	3	1	3	3	-1.39429105	2	2	2	3	3	3	2	1	2	3	2	3
435	2	0	2	3	999	2	2	999	2	2	999	0.347228519	1	1	999	1	1	999	1	1	999	1	1	999
437	2	0	1	2	2	1	2	2	1	2	2	1.508241564	1	1	1	1	1	1	1	1	1	1	1	1
441	1	1	2	2	3	2	2	2	3	3	2	-0.233278004	2	2	2	3	3	2	2	1	2	3	2	3
442	2	0	3	3	3	2	2	2	3	2	2	-0.233278004	2	2	2	2	2	2	2	2	2	3	3	3
460	2	0	1	1	1	1	1	1	1	1	1	1.508241564	1	1	1	1	1	1	1	1	1	1	1	1
462	2	0	1	1	3	1	1	2	1	1	2	0.927735042	1	1	1	1	1	1	1	1	1	1	1	1
464	2	0	3	3	3	3	3	2	3	3	3	0.347228519	2	1	2	999	1	2	999	1	1	999	1	2
468	2	0	1	2	2	1	3	2	1	3	2	0.927735042	1	1	1	1	1	1	1	1	1	1	1	1
470	2	0	2	2	2	2	2	2	3	3	3	999	2	2	2	3	2	2	2	2	2	3	3	3
475	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
480	2	0	2	2	2	2	2	2	2	2	3	-0.233278004	2	2	2	2	2	3	2	2	2	3	3	3
483	1	1	2	2	2	2	2	2	3	3	3	1.508241564	1	1	2	1	1	2	1	1	1	1	1	2
486	2	0	3	2	2	2	2	2	3	3	3	-1.39429105	1	1	1	1	1	1	1	1	1	1	1	1
497	2	0	3	3	3	2	2	2	3	3	3	-0.813784527	1	1	1	1	1	1	1	1	1	1	1	1
498	2	0	3	3	3	3	2	2	3	3	3	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
503	1	1	1	2	2	1	2	2	1	2	3	0.347228519	1	1	2	1	1	2	1	1	2	1	1	3
508	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
510	1	1	1	1	2	1	1	2	1	1	3	-0.233278004	1	1	2	1	1	2	1	1	1	1	1	2
517	1	1	3	2	3	2	3	2	3	3	2	-0.233278004	2	2	2	2	3	2	1	1	1	2	2	2
520	1	1	1	2	2	1	2	3	1	3	3	-2.555304096	2	1	2	1	1	3	999	1	1	999	1	2
523	2	0	2	2	3	3	3	3	3	3	3	-0.813784527	2	2	2	3	3	3	2	2	999	3	3	999
524	1	1	3	3	3	3	3	3	3	3	3	-2.555304096	2	2	2	3	3	3	2	1	2	3	2	3
527	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
534	2	0	2	3	1	2	2	1	2	2	1	1.508241564	2	2	2	3	2	3	2	2	999	3	3	999
535	2	0	1	2	2	1	2	3	1	3	3	2.088748087	1	2	1	1	2	1	1	2	1	1	3	1
539	1	1	3	999	3	3	999	2	3	999	2	0.347228519	2	999	2	3	999	2	2	999	2	3	999	3
544	1	1	3	3	2	3	2	3	3	3	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
545	1	1	1	2	1	1	2	1	1	2	1	-0.813784527	1	1	1	1	1	1	1	1	1	1	1	1
546	1	1	3	3	3	2	3	2	3	3	3	0.927735042	2	2	2	3	3	3	2	2	2	3	3	3
551	1	1	1	1	2	1	1	2	1	1	2	2.088748087	1	1	1	1	1	1	1	1	1	1	1	1
552	1	1	2	999	999	2	999	999	2	999	999	-0.233278004	1	999	999	1	999	999	1	999	999	1	999	999
557	2	0	2	2	2	3	3	2	3	3	3	-0.233278004	2	2	2	3	3	2	2	2	2	3	3	3
560	2	0	3	3	3	2	3	3	3	3	3	0.927735042	2	2	2	2	3	3	1	2	2	2	3	3
567	1	1	2	2	2	2	2	2	3	3	3	-2.555304096	1	1	1	1	1	1	1	1	1	1	1	1
568	1	1	3	2	3	2	2	2	3	3	3	-0.813784527	2	1	1	2	1	1	1	1	1	2	1	1
569	1	1	2	999	999	3	999	999	3	999	999	0.347228519	2	999	999	2	999	999	2	999	999	3	999	999
571	1	1	1	3	3	1	2	2	1	2	2	-0.813784527	2	2	2	2	2	2	999	2	1	999	3	2
573	2	0	3	2	3	2	2	2	3	2	3	-1.39429105	2	2	2	2	2	2	2	1	2	3	2	3
579	2	0	3	3	3	3	2	2	3	2	2	0.347228519	2	2	2	3	3	2	2	2	2	3	3	3
583	2	0	3	3	2	2	3	3	3	3	3	0.927735042	1	2	2	1	3	3	1	2	2	1	3	3
594	2	0	1	1	2	1	1	2	1	1	3	-0.233278004	1	1	2	1	1	3	1	1	2	1	1	3
595	2	0	2	1	3	3	1	3	3	1	3	-0.233278004	2	2	2	2	3	3	2	2	2	3	3	3
596	2	0	2	3	999	3	2	999	3	3	999	0.927735042	2	2	999	2	2	999	2	2	999	3	3	999
598	1	1	2	2	3	3	2	2	3	3	2	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
599	2	0	1	1	2	1	1	2	1	1	2	2.66925461	1	1	2	1	1	999	1	1	999	1	1	999
