stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
30085,199503,-0.2554,1,8,2,2,52.3988,51.1849,3.5,3.5,4,NA,4,5
30086,199410,0.5406,1,8,3,3,59.7338,57.534,3.5,3,8,5,4,3
30087,199507,-0.1011,1,3,NA,NA,49.7956,46.4862,0.5,0.5,NA,2,5,3
30088,199510,-0.0509,1,8,NA,NA,43.0165,44.2546,1.5,1,NA,6,NA,NA
30089,199501,1.6208,2,8,7,3,52.9038,60.1386,3.5,3.5,10,5,4,NA
30091,199412,0.1473,2,3,3,2,44.5696,33.1959,2.5,2.5,6,3,5,4
30094,199409,-0.1984,2,8,2,2,53.5325,58.7865,3,3,8,6,5,3
30095,199406,-0.2832,1,6,NA,NA,57.2903,NA,3,3.5,NA,2,NA,NA
30096,199406,0.0417,1,8,3,2,33.3744,37.6822,2,1.5,4,NA,NA,NA
30097,199504,0.8961,1,8,5,4,63.6656,51.0205,3,3.5,6,NA,4,5
30098,199505,0.1343,2,8,NA,NA,52.5534,NA,2.5,2,NA,3,NA,NA
30099,199412,0.7099,2,6,2,3,41.14,50.8081,2,2.5,6,NA,NA,NA
30100,199508,0.4344,1,3,5,NA,59.367,53.1285,3,3,6,6,5,5
30101,199503,0.1134,1,4,NA,NA,61.3504,58.7342,3.5,3,NA,5,6,NA
30102,199405,-0.9075,2,8,2,NA,31.5195,46.2614,3,2.5,11,2,2,NA
30103,199501,-0.3332,1,8,2,NA,30.3892,30.5684,NA,NA,11,NA,4,2
30104,199410,0.94,1,8,4,3,38.3871,47.5873,2.5,1.5,6,2,NA,3
30105,199500,NA,2,NA,NA,NA,NA,68.6271,NA,NA,NA,NA,6,NA
30106,199506,-0.8455,2,6,2,NA,39.6741,NA,2.5,2,8,NA,NA,3
30107,199501,-0.2479,2,8,2,2,44.9826,55.874,3.5,3.5,6,NA,5,4
30108,199412,0.2335,2,8,2,5,54.6589,52.5344,2.5,2.5,4,NA,4,4
30110,199502,0.4329,1,3,NA,NA,55.7976,61.4925,2.5,2.5,NA,3,5,NA
30111,199412,-0.0258,1,6,3,3,55.3661,51.2319,3.5,3,6,5,4,4
30112,199506,-0.0822,2,8,2,2,52.9827,55.3197,3.5,3,5,6,4,4
30113,199400,NA,1,5,NA,NA,NA,49.158,NA,NA,NA,NA,2,NA
30115,199407,-0.7751,2,5,2,NA,49.847,50.0232,3,3,6,6,NA,4
30116,199507,-0.4584,1,8,2,NA,42.6343,49.2192,2,2,6,NA,4,4
30117,199500,NA,2,4,NA,NA,NA,53.974,3.5,3.5,NA,NA,NA,5
30118,199305,-0.4029,1,8,NA,NA,41.9565,NA,NA,3,NA,2,NA,2
30119,199405,0.6165,1,8,4,2,62.2915,52.9312,1.5,1.5,6,2,4,3
30120,199501,-0.5951,1,6,NA,NA,36.6928,40.9818,1.5,1.5,NA,2,2,5
30121,199406,-0.2511,2,8,NA,NA,40.4205,41.9663,0.5,0.5,NA,4,4,4
30122,199412,0.8502,1,3,4,3,38.4694,46.9358,2.5,1.5,6,2,NA,3
30123,199504,1.4233,2,8,4,4,59.3368,63.7292,3.5,4,11,4,6,4
30124,199502,-0.5011,1,8,NA,NA,41.4103,39.0885,NA,NA,NA,NA,3,NA
